number,pokemon_name,pic_url,main_type,secondary_type,region,category,height,weight,pokemon_family,attack,defense,stamina,cp_range,hp_range,capture_rate,flee_rate,male_perc,female_perc,resistance,weakness,wild_avail,egg_avail,raid_avail,research_avail,shiny,shadow,pkedex_desc,poss_attacks
11,Metapod,https://static.wikia.nocookie.net/pokemongo/images/6/6b/Metapod.png,Bug,,Kanto,Cocoon,0.7,9.9,Caterpie family,45,80,137,10-450,12-120,25%,9%,50%,50%,"{'62.5%': ['Fighting', 'Grass', 'Ground']}","{'160%': ['Fire', 'Flying', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"['Bug Bite', 'Tackle', 'Struggle']"
12,Butterfree,https://static.wikia.nocookie.net/pokemongo/images/9/96/Butterfree.png,Bug,Flying,Kanto,Butterfly,1.1,32,Caterpie family,167,137,155,"21-1,827",14-134,12.50%,6%,50%,50%,"{'62.5%': ['Bug'], '39%': ['Fighting', 'Grass'], '24%': ['Ground']}","{'160%': ['Electric', 'Fire', 'Flying', 'Ice'], '256%': ['Rock']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","['Confusion', 'Struggle Bug', 'Bug Bite', 'Bug Buzz', 'Psychic', 'Signal Beam']"
13,Weedle,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Weedle.png,Bug,Poison,Kanto,Hairy,0.3,3.2,Weedle family,63,50,120,10-456,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"['Bug Bite', 'Poison Sting', 'Struggle']"
14,Kakuna,https://static.wikia.nocookie.net/pokemongo/images/6/63/Kakuna.png,Bug,Poison,Kanto,Cocoon,0.6,10,Weedle family,46,75,128,10-432,12-113,25%,9%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,Yes,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","['Bug Bite', 'Poison Sting', 'Struggle']"
15,Beedrill,https://static.wikia.nocookie.net/pokemongo/images/0/0d/Beedrill.png,Bug,Poison,Kanto,Poison,1,29.5,Weedle family,169,130,163,"21-1,846",15-140,12.50%,6%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Poison'], '39%': ['Fighting', 'Grass']}","{'160%': ['Fire', 'Flying', 'Psychic', 'Rock']}",Yes ,No,Formerly  (4th tier level),No,Yes,Yes,"Standard Pokédex description
Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","['Infestation', 'Poison Jab', 'Bug Bite', 'Aerial Ace', 'Fell Stinger', 'Sludge Bomb', 'X-Scissor', 'Drill Run']"
16,Pidgey,https://static.wikia.nocookie.net/pokemongo/images/b/b7/Pidgey.png,Normal,Flying,Kanto,Tiny,0.3,1.8,Pidgey family,85,73,120,10-680,11-106,50%,20%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","['Quick Attack', 'Tackle', 'Aerial Ace', 'Air Cutter', 'Twister']"
17,Pidgeotto,https://static.wikia.nocookie.net/pokemongo/images/5/57/Pidgeotto.png,Normal,Flying,Kanto,Bird,1.1,30,Pidgey family,117,105,160,"13-1,194",15-138,25%,9%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","['Steel Wing', 'Wing Attack', 'Aerial Ace', 'Air Cutter', 'Twister']"
18,Pidgeot,https://static.wikia.nocookie.net/pokemongo/images/a/a9/Pidgeot.png,Normal,Flying,Kanto,Bird,1.5,39.5,Pidgey family,166,154,195,"25-2,129",18-165,12.50%,6%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,Formerly  (4th tier level),No,Yes,No,"Standard Pokédex description
This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","['Air Slash', 'Steel Wing', 'Gust', 'Wing Attack', 'Aerial Ace', 'Brave Bird', 'Feather Dance', 'Hurricane', 'Air Cutter']"
19,Rattata,https://static.wikia.nocookie.net/pokemongo/images/c/c4/Rattata.png,Normal,,Kanto,Mouse,0.3,3.5,Rattata family,103,70,102,10-734,Oct-92,50%,20%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,No  ,Formerly ,Yes,Yes,"Standard Pokédex description
Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","['Quick Attack', 'Tackle', 'Body Slam', 'Dig', 'Hyper Fang', 'Quick Attack', 'Tackle', 'Crunch', 'Hyper Fang', 'Shadow Ball']"
20,Raticate,https://static.wikia.nocookie.net/pokemongo/images/d/d6/Raticate.png,Normal,,Kanto,Mouse,0.7,18.5,Rattata family,161,139,146,"20-1,730",13-127,20%,7%,50%,50%,{'39%': ['Ghost']},{'160%': ['Fighting']},Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"Standard Pokédex description
Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","['Bite', 'Quick Attack', 'Dig', 'Hyper Beam', 'Hyper Fang', 'Bite', 'Quick Attack', 'Crunch', 'Hyper Beam', 'Hyper Fang']"
21,Spearow,https://static.wikia.nocookie.net/pokemongo/images/a/a1/Spearow.png,Normal,Flying,Kanto,Tiny,0.3,2,Spearow family,112,60,120,10-798,11-106,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,No  ,Formerly ,Yes,No,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","['Peck', 'Quick Attack', 'Aerial Ace', 'Drill Peck', 'Sky Attack', 'Twister']"
22,Fearow,https://static.wikia.nocookie.net/pokemongo/images/4/41/Fearow.png,Normal,Flying,Kanto,Beak,1.2,38,Spearow family,182,133,163,"23-1,997",15-140,20%,7%,50%,50%,"{'62.5%': ['Bug', 'Grass'], '39%': ['Ghost', 'Ground']}","{'160%': ['Electric', 'Ice', 'Rock']}",Yes ,No,Formerly  (3rd tier level),No,Yes,No,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"['Peck', 'Steel Wing', 'Aerial Ace', 'Drill Run', 'Sky Attack', 'Twister']"
23,Ekans,https://static.wikia.nocookie.net/pokemongo/images/1/11/Ekans.png,Poison,,Kanto,Snake,2,6.9,Ekans family,110,97,111,10-927,Oct-99,50%,15%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"['Acid', 'Poison Sting', 'Poison Fang', 'Sludge Bomb', 'Wrap', 'Gunk Shot']"
24,Arbok,https://static.wikia.nocookie.net/pokemongo/images/4/4d/Arbok.png,Poison,,Kanto,Cobra,3.5,65,Ekans family,167,153,155,"22-1,921",14-134,20%,7%,50%,50%,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (3rd tier level),No,Yes,Yes,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crushing embrace is impossible.","['Acid', 'Bite', 'Dragon Tail', 'Acid Spray', 'Dark Pulse', 'Gunk Shot', 'Sludge Wave']"
25,Pikachu,https://static.wikia.nocookie.net/pokemongo/images/7/77/Pikachu.png,Electric,,Kanto,Mouse,0.4,6,Pikachu family,112,96,111,10-938,Oct-99,20%,10%,50%,50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes (Very-rare; common during certain game events),No,Formerly  (1st tier level),Yes ,Yes,No,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.","['Quick Attack', 'Thunder Shock', 'Present', 'Discharge', 'Thunderbolt', 'Wild Charge', 'Surf', 'Thunder', 'Quick Attack', 'Thunder Shock', 'Discharge', 'Fly', 'Thunderbolt', 'Wild Charge', 'Charm', 'Thunder Shock', 'Flying Press', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Draining Kiss', 'Play Rough', 'Thunder Punch', 'Charm', 'Thunder Shock', 'Meteor Mash', 'Play Rough', 'Thunder Punch']"
26,Raichu,https://static.wikia.nocookie.net/pokemongo/images/3/34/Raichu.png,Electric,,Kanto,Mouse,0.8,30,Pikachu family,193,151,155,"26-2,182",14-134,10%,6%,50%,50%,"{'62.5%': ['Electric', 'Flying', 'Steel']}",{'160%': ['Ground']},Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Standard Pokédex description
If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.","['Charm', 'Spark', 'Thunder Shock', 'Volt Switch', 'Brick Break', 'Skull Bash', 'Thunder Punch', 'Wild Charge', 'Thunder', 'Spark', 'Thunder Shock', 'Volt Switch', 'Grass Knot', 'Psychic', 'Thunder Punch', 'Wild Charge']"
27,Sandshrew,https://static.wikia.nocookie.net/pokemongo/images/d/df/Sandshrew.png,Ground,,Kanto,Mouse,0.6,12,Sandshrew family,126,120,137,"14-1,261",12-120,50%,10%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.","['Mud Shot', 'Scratch', 'Dig', 'Rock Slide', 'Sand Tomb', 'Rock Tomb', 'Metal Claw', 'Powder Snow', 'Blizzard', 'Gyro Ball', 'Night Slash']"
28,Sandslash,https://static.wikia.nocookie.net/pokemongo/images/1/13/Sandslash.png,Ground,,Kanto,Mouse,1,29.5,Sandshrew family,182,175,181,"28-2,374",17-154,20%,6%,50%,50%,"{'62.5%': ['Poison', 'Rock'], '39%': ['Electric']}","{'160%': ['Grass', 'Ice', 'Water']}",Yes ,No,Formerly  (2nd tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","['Metal Claw', 'Mud Shot', 'Bulldoze', 'Earthquake', 'Rock Tomb', 'Night Slash', 'Metal Claw', 'Powder Snow', 'Shadow Claw', 'Blizzard', 'Bulldoze', 'Gyro Ball', 'Ice Punch']"
29,Nidoran♀,https://static.wikia.nocookie.net/pokemongo/images/c/c8/Nidoran%E2%99%80.png,Poison,,Kanto,Poison,0.4,7,Nidoran♀ family,86,89,146,10-816,13-127,50%,15%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,No  ,Formerly ,Yes,Yes,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","['Bite', 'Poison Sting', 'Body Slam', 'Poison Fang', 'Sludge Bomb']"
30,Nidorina,https://static.wikia.nocookie.net/pokemongo/images/3/31/Nidorina.png,Poison,,Kanto,Poison,0.8,20,Nidoran♀ family,117,120,172,"14-1,309",16-147,25%,7%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,No  ,Formerly ,Yes,Yes,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","['Bite', 'Poison Sting', 'Dig', 'Poison Fang', 'Sludge Bomb']"
31,Nidoqueen,https://static.wikia.nocookie.net/pokemongo/images/4/43/Nidoqueen.png,Poison,Ground,Kanto,Drill,1.3,60,Nidoran♀ family,180,173,207,"30-2,488",19-175,12.50%,5%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Ground', 'Ice', 'Psychic', 'Water']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"['Bite', 'Poison Jab', 'Earth Power', 'Earthquake', 'Poison Fang', 'Sludge Wave', 'Stone Edge']"
32,Nidoran♂,https://static.wikia.nocookie.net/pokemongo/images/6/60/Nidoran%E2%99%82.png,Poison,,Kanto,Poison,0.5,9,Nidoran♂ family,105,76,130,10-860,12-114,50%,15%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","['Peck', 'Poison Sting', 'Body Slam', 'Horn Attack', 'Sludge Bomb']"
33,Nidorino,https://static.wikia.nocookie.net/pokemongo/images/7/7a/Nidorino.png,Poison,,Kanto,Poison,0.9,19.5,Nidoran♂ family,137,111,156,"15-1,393",14-135,25%,7%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Grass', 'Poison']}","{'160%': ['Ground', 'Psychic']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","['Poison Jab', 'Poison Sting', 'Dig', 'Horn Attack', 'Sludge Bomb']"
34,Nidoking,https://static.wikia.nocookie.net/pokemongo/images/7/76/Nidoking.png,Poison,Ground,Kanto,Drill,1.4,62,Nidoran♂ family,204,156,191,"31-2,567",17-162,12.50%,5%,N/A,N/A,"{'62.5%': ['Bug', 'Fairy', 'Fighting', 'Rock'], '39%': ['Electric', 'Poison']}","{'160%': ['Ground', 'Ice', 'Psychic', 'Water']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","['Iron Tail', 'Poison Jab', 'Fury Cutter', 'Earth Power', 'Earthquake', 'Megahorn', 'Sand Tomb', 'Sludge Wave']"
35,Clefairy,https://static.wikia.nocookie.net/pokemongo/images/d/d2/Clefairy.png,Fairy,,Kanto,Fairy,0.6,7.5,Clefairy family,107,108,172,"12-1,155",16-147,30%,10%,25%,75%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,No,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","['Pound', 'Zen Headbutt', 'Body Slam', 'Disarming Voice', 'Moonblast']"
36,Clefable,https://static.wikia.nocookie.net/pokemongo/images/d/d5/Clefable.png,Fairy,,Kanto,Fairy,1.3,40,Clefairy family,178,162,216,"29-2,437",20-182,10%,6%,25%,75%,"{'62.5%': ['Bug', 'Dark', 'Fighting'], '39%': ['Dragon']}","{'160%': ['Poison', 'Steel']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","['Charge Beam', 'Charm', 'Zen Headbutt', 'Pound', 'Dazzling Gleam', 'Meteor Mash', 'Moonblast', 'Psychic']"
37,Vulpix,https://static.wikia.nocookie.net/pokemongo/images/8/8d/Vulpix.png,Fire,,Kanto,Fox,0.6,9.9,Vulpix family,96,109,116,10-883,10-103,30%,10%,25%,75%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,Yes,"Standard Pokédex description
At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its Trainer. The six tails become magnificently curled.","['Ember', 'Quick Attack', 'Body Slam', 'Flame Charge', 'Flamethrower', 'Weather Ball', 'Powder Snow', 'Zen Headbutt', 'Blizzard', 'Dark Pulse', 'Ice Beam', 'Weather Ball']"
38,Ninetales,https://static.wikia.nocookie.net/pokemongo/images/9/98/Ninetales.png,Fire,,Kanto,Fox,1.1,19.9,Vulpix family,169,190,177,"27-2,279",16-151,10%,6%,25%,75%,"{'62.5%': ['Bug', 'Fairy', 'Fire', 'Grass', 'Ice', 'Steel']}","{'160%': ['Ground', 'Rock', 'Water']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,Yes,"Standard Pokédex description
Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for a thousand years.","['Feint Attack', 'Fire Spin', 'Ember', 'Heat Wave', 'Overheat', 'Psyshock', 'Solar Beam', 'Weather Ball', 'Fire Blast', 'Flamethrower', 'Charm', 'Feint Attack', 'Powder Snow', 'Blizzard', 'Dazzling Gleam', 'Ice Beam', 'Psyshock', 'Weather Ball']"
39,Jigglypuff,https://static.wikia.nocookie.net/pokemongo/images/a/af/Jigglypuff.png,Normal,Fairy,Kanto,Balloon,0.5,5.5,Jigglypuff family,80,41,251,10-724,23-210,50%,10%,25%,75%,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}",Yes ,No,Formerly  (1st tier level),Yes ,Yes,No,Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,"['Feint Attack', 'Pound', 'Dazzling Gleam', 'Disarming Voice', 'Gyro Ball', 'Body Slam', 'Play Rough']"
40,Wigglytuff,https://static.wikia.nocookie.net/pokemongo/images/f/f1/Wigglytuff.png,Normal,Fairy,Kanto,Balloon,1,12,Jigglypuff family,156,90,295,"22-1,926",27-244,20%,6%,25%,75%,"{'62.5%': ['Bug', 'Dark'], '39%': ['Dragon', 'Ghost']}","{'160%': ['Poison', 'Steel']}",Yes ,No,Formerly  (3rd tier level),Formerly ,Yes,No,"Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.","['Charm', 'Feint Attack', 'Pound', 'Dazzling Gleam', 'Hyper Beam', 'Ice Beam', 'Play Rough']"
41,Zubat,https://static.wikia.nocookie.net/pokemongo/images/6/67/Zubat.png,Poison,Flying,Kanto,Bat,0.8,7.5,Zubat family,83,73,120,10-667,11-106,50%,20%,50%,50%,"{'62.5%': ['Fairy', 'Ground', 'Poison'], '39%': ['Bug', 'Fighting', 'Grass']}","{'160%': ['Electric', 'Ice', 'Psychic', 'Rock']}",Yes ,No,Formerly  (1st tier level),Formerly ,Yes,Yes,Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,"['Bite', 'Quick Attack', 'Air Cutter', 'Poison Fang', 'Swift', 'Sludge Bomb']"
