RANK,Country,Happiness,Whisker-high,Whisker-low,Dystopia (1.83) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
68,Mongolia,5.761,5.845,5.676,1.999,1.393,1.197,0.467,0.398,0.247,0.059
69,Dominican Republic,5.737,5.873,5.601,1.751,1.538,1.003,0.577,0.606,0.084,0.179
70,Malaysia,5.711,5.845,5.578,1.471,1.689,0.938,0.62,0.654,0.213,0.126
71,Bolivia,5.6,5.709,5.491,2.107,1.256,0.88,0.555,0.627,0.112,0.064
72,China,5.585,5.65,5.52,1.516,1.508,0.958,0.705,0.656,0.099,0.142
73,Paraguay,5.578,5.689,5.467,1.555,1.409,1.13,0.624,0.629,0.171,0.059
74,Peru,5.559,5.679,5.439,1.89,1.397,0.865,0.735,0.545,0.09,0.037
75,Montenegro,5.547,5.681,5.413,1.619,1.573,1.023,0.659,0.46,0.135,0.077
76,Ecuador,5.533,5.653,5.414,1.866,1.352,0.879,0.708,0.565,0.08,0.083
77,Vietnam,5.485,5.57,5.4,1.735,1.252,0.932,0.611,0.707,0.143,0.105
78,Turkmenistan*,5.474,5.578,5.371,1.16,1.484,1.319,0.516,0.649,0.314,0.032
79,North Cyprus*,5.467,5.609,5.325,1.078,1.815,0.888,0.819,0.523,0.13,0.213
80,Russia,5.459,5.525,5.392,1.494,1.685,1.095,0.586,0.401,0.117,0.08
81,Hong Kong S.A.R. of China,5.425,5.501,5.348,0.642,1.957,0.954,0.942,0.4,0.147,0.383
82,Armenia,5.399,5.519,5.278,1.654,1.434,0.82,0.668,0.558,0.054,0.21
83,Tajikistan,5.377,5.468,5.287,1.895,0.966,1.005,0.518,0.572,0.118,0.304
84,Nepal,5.377,5.502,5.251,2.224,0.984,0.784,0.499,0.519,0.237,0.13
85,Bulgaria,5.371,5.485,5.257,1.235,1.625,1.163,0.64,0.563,0.123,0.021
86,Libya*,5.33,5.543,5.118,1.544,1.476,0.943,0.606,0.477,0.106,0.179
87,Indonesia,5.24,5.341,5.139,1.3,1.382,0.883,0.539,0.62,0.468,0.047
88,Ivory Coast,5.235,5.384,5.085,2.652,1.094,0.442,0.322,0.451,0.149,0.124
89,North Macedonia,5.199,5.303,5.095,1.461,1.505,0.863,0.637,0.488,0.215,0.031
90,Albania,5.199,5.321,5.076,1.718,1.439,0.646,0.719,0.511,0.138,0.028
91,South Africa,5.194,5.315,5.073,1.742,1.425,1.088,0.361,0.442,0.089,0.046
92,Azerbaijan*,5.173,5.265,5.082,1.098,1.458,1.093,0.56,0.601,0.023,0.341
93,Gambia*,5.164,5.409,4.918,2.531,0.785,0.621,0.369,0.367,0.388,0.103
94,Bangladesh,5.155,5.262,5.049,1.967,1.06,0.614,0.581,0.622,0.125,0.187
95,Laos,5.14,5.263,5.018,1.709,1.239,0.654,0.479,0.679,0.197,0.184
96,Algeria,5.122,5.215,5.03,1.744,1.363,0.97,0.643,0.146,0.106,0.15
97,Liberia*,5.122,5.428,4.815,2.844,0.636,0.67,0.309,0.405,0.178,0.08
98,Ukraine,5.084,5.19,4.978,1.331,1.411,1.081,0.583,0.473,0.188,0.017
99,Congo,5.075,5.235,4.915,2.658,0.95,0.405,0.355,0.431,0.13,0.146
100,Morocco,5.06,5.181,4.938,2.405,1.208,0.268,0.565,0.492,0.02,0.102
101,Mozambique,5.048,5.273,4.823,2.641,0.578,0.66,0.191,0.593,0.185,0.2
102,Cameroon,5.048,5.188,4.907,2.469,0.968,0.672,0.317,0.397,0.152,0.074
103,Senegal,5.046,5.171,4.921,2.419,0.933,0.53,0.447,0.494,0.143,0.081
104,Niger*,5.003,5.247,4.76,2.667,0.57,0.56,0.326,0.571,0.165,0.145
105,Georgia,4.973,5.079,4.867,1.583,1.467,0.612,0.595,0.508,0,0.208
106,Gabon,4.958,5.091,4.826,1.892,1.459,0.738,0.396,0.343,0.032,0.099
107,Iraq,4.941,5.099,4.783,1.894,1.289,0.682,0.554,0.328,0.147,0.046
108,Venezuela,4.925,5.051,4.8,2.79,0,0.968,0.578,0.283,0.225,0.082
109,Guinea,4.891,5.028,4.753,2.538,0.848,0.566,0.275,0.334,0.214,0.116
110,Iran,4.888,4.995,4.78,1.427,1.41,0.741,0.642,0.281,0.241,0.146
111,Ghana,4.872,4.999,4.745,1.972,1.112,0.595,0.409,0.5,0.23,0.056
112,Turkey,4.744,4.845,4.644,1.059,1.707,0.865,0.702,0.209,0.087,0.115
113,Burkina Faso,4.67,4.814,4.527,2.313,0.779,0.565,0.32,0.382,0.186,0.126
114,Cambodia,4.64,4.765,4.516,1.41,1.019,0.732,0.505,0.74,0.166,0.068
115,Benin,4.623,4.754,4.492,2.458,0.932,0.064,0.335,0.479,0.127,0.23
116,Comoros*,4.609,4.849,4.368,2.304,0.899,0.476,0.424,0.185,0.195,0.125
117,Uganda,4.603,4.747,4.459,1.842,0.777,0.875,0.418,0.402,0.222,0.066
118,Nigeria,4.552,4.651,4.453,1.784,1.079,0.732,0.3,0.444,0.175,0.038
119,Kenya,4.543,4.683,4.403,1.661,1.032,0.605,0.401,0.44,0.322,0.082
120,Tunisia,4.516,4.629,4.403,1.54,1.35,0.596,0.656,0.316,0.029,0.029
121,Pakistan,4.516,4.634,4.397,1.94,1.049,0.413,0.374,0.448,0.181,0.112
122,Palestinian Territories*,4.483,4.665,4.3,1.368,1.148,0.957,0.521,0.336,0.073,0.079
123,Mali,4.479,4.611,4.347,2.373,0.792,0.483,0.311,0.35,0.128,0.042
124,Namibia,4.459,4.593,4.326,1.414,1.292,0.877,0.354,0.384,0.067,0.071
125,"Eswatini, Kingdom of*",4.396,4.607,4.185,1.688,1.274,0.786,0.197,0.259,0.038,0.154
126,Myanmar,4.394,4.511,4.277,0.877,1.038,0.829,0.491,0.513,0.452,0.194
127,Sri Lanka,4.362,4.487,4.237,0.595,1.415,0.934,0.66,0.529,0.15,0.079
128,Madagascar*,4.339,4.53,4.148,2.148,0.67,0.645,0.378,0.202,0.143,0.154
129,Egypt,4.288,4.377,4.198,0.856,1.388,0.732,0.548,0.469,0.041,0.254
130,Chad*,4.251,4.503,3.999,2.419,0.662,0.506,0.225,0.18,0.182,0.077
131,Ethiopia,4.241,4.365,4.118,1.375,0.788,0.809,0.457,0.472,0.205,0.136
132,Yemen*,4.197,4.384,4.01,1.561,0.691,1.043,0.384,0.33,0.09,0.098
133,Mauritania*,4.153,4.356,3.95,1.207,1.1,0.865,0.45,0.304,0.088,0.138
134,Jordan,4.152,4.276,4.029,0.695,1.324,0.724,0.675,0.476,0.058,0.2
135,Togo,4.112,4.272,3.953,2.061,0.771,0.322,0.36,0.292,0.174,0.132
136,India,3.777,3.828,3.726,0.795,1.167,0.376,0.471,0.647,0.198,0.123
137,Zambia,3.76,3.902,3.618,1.135,0.93,0.577,0.306,0.525,0.203,0.083
138,Malawi,3.75,3.941,3.56,1.661,0.648,0.279,0.388,0.477,0.14,0.157
139,Tanzania,3.702,3.847,3.558,0.735,0.848,0.597,0.425,0.578,0.248,0.27
140,Sierra Leone,3.574,3.732,3.416,1.556,0.686,0.416,0.273,0.387,0.202,0.055
141,Lesotho*,3.512,3.748,3.276,1.312,0.839,0.848,0,0.419,0.076,0.018
142,Botswana*,3.471,3.667,3.275,0.187,1.503,0.815,0.28,0.571,0.012,0.102
143,Rwanda*,3.268,3.462,3.074,0.536,0.785,0.133,0.462,0.621,0.187,0.544
144,Zimbabwe,2.995,3.11,2.88,0.548,0.947,0.69,0.27,0.329,0.106,0.105
145,Lebanon,2.955,3.049,2.862,0.216,1.392,0.498,0.631,0.103,0.082,0.034
146,Afghanistan,2.404,2.469,2.339,1.263,0.758,0,0.289,0,0.089,0.005
147,xx,,,,,,,,,,
